material,frequency,absorption_eff
polyimide,1.0,3.301774892171556
ECCOSORB_BSR1,1.0,2.2580448687068304
beryllia_99.5,1.0,7.974770475857551
epoxy_resin,1.0,3.9715986756808648
FR4,1.0,4.520937205393904
lead_glass,1.0,120.0
loamy_soi,1.0,9.411103050168254
mica,1.0,6.9930555926709985
polycarbonate,1.0,2.579092551452538
PTFE,1.0,1.9122787857605377
aluminum_nitride,1.0,11.632348344038636
rogers_2929,1.0,2.77255839339664
rubber,1.0,2.7726826186051783
quartz,1.0,3.6680035687942762
schott_B_270,1.0,120.0
taconic_CER10,1.0,15.806099660087295
sulfur_hexafluoride,1.0,1.5439784606598896
STACEM_56NF01G,1.0,3.2879403366310713
ST37,1.0,120.0
diamond,1.0,6.447736798534026
silicon,1.0,120.0
PTFE,2.0030000209808,120.0
taconic_CER10,2.0030000209808,120.0
ECCOSORB_BSR1,2.0030000209808,120.0
rogers_2929,2.0030000209808,120.0
sulfur_hexafluoride,2.0030000209808,120.0
epoxy_resin,2.0030000209808,120.0
schott_B_270,2.0030000209808,120.0
FR4,2.0030000209808,120.0
STACEM_56NF01G,2.0030000209808,120.0
lead_glass,2.0030000209808,120.0
loamy_soi,2.0030000209808,120.0
rubber,2.0030000209808,120.0
mica,2.0030000209808,120.0
quartz,2.0030000209808,120.0
polycarbonate,2.0030000209808,120.0
polyimide,2.0030000209808,120.0
silicon,2.0030000209808,120.0
diamond,2.0030000209808,120.0
ST37,2.0030000209808,120.0
alumina_96,2.0030000209808,120.0
beryllia_99.5,2.0030000209808,120.0
aluminum_nitride,2.0030000209808,120.0
PTFE,3.0060000419617,2.485764015636171
silicon,3.0060000419617,11.075681686807545
ECCOSORB_BSR1,3.0060000419617,3.107747799180349
beryllia_99.5,3.0060000419617,6.098304894374758
schott_B_270,3.0060000419617,120.0
epoxy_resin,3.0060000419617,1.9407613215523147
loamy_soi,3.0060000419617,3.5413589110537904
STACEM_56NF01G,3.0060000419617,5.276404980426552
rubber,3.0060000419617,2.3006955547775068
rogers_2929,3.0060000419617,2.2992742111012605
quartz,3.0060000419617,1.9720612260192472
FR4,3.0060000419617,2.0402512155413826
sulfur_hexafluoride,3.0060000419617,1.94036300894656
lead_glass,3.0060000419617,120.0
mica,3.0060000419617,4.829503825539127
polycarbonate,3.0060000419617,2.4209909234068157
taconic_CER10,3.0060000419617,120.0
alumina_96,3.0060000419617,120.0
diamond,3.0060000419617,3.926568305093403
polyimide,3.0060000419617,2.0719572408410727
ST37,3.0060000419617,120.0
aluminum_nitride,3.0060000419617,19.678230912950756
polyimide,4.0089998245239,120.0
rubber,4.0089998245239,120.0
quartz,4.0089998245239,120.0
lead_glass,4.0089998245239,120.0
epoxy_resin,4.0089998245239,120.0
aluminum_nitride,4.0089998245239,120.0
silicon,4.0089998245239,120.0
polycarbonate,4.0089998245239,120.0
PTFE,4.0089998245239,24.18669902773949
mica,4.0089998245239,120.0
schott_B_270,4.0089998245239,120.0
rogers_2929,4.0089998245239,120.0
FR4,4.0089998245239,120.0
loamy_soi,4.0089998245239,120.0
ECCOSORB_BSR1,4.0089998245239,120.0
alumina_96,4.0089998245239,120.0
taconic_CER10,4.0089998245239,120.0
diamond,4.0089998245239,120.0
STACEM_56NF01G,4.0089998245239,120.0
ST37,4.0089998245239,120.0
beryllia_99.5,4.0089998245239,120.0
sulfur_hexafluoride,4.0089998245239,23.165512154962514
diamond,5.0120000839233,8.155678219051737
aluminum_nitride,5.0120000839233,120.0
PTFE,5.0120000839233,9.823320890945972
alumina_96,5.0120000839233,120.0
quartz,5.0120000839233,120.0
polyimide,5.0120000839233,120.0
sulfur_hexafluoride,5.0120000839233,8.145011810237424
rogers_2929,5.0120000839233,120.0
FR4,5.0120000839233,120.0
epoxy_resin,5.0120000839233,120.0
lead_glass,5.0120000839233,120.0
rubber,5.0120000839233,120.0
loamy_soi,5.0120000839233,120.0
silicon,5.0120000839233,120.0
ECCOSORB_BSR1,5.0120000839233,120.0
mica,5.0120000839233,9.317771360557487
schott_B_270,5.0120000839233,120.0
STACEM_56NF01G,5.0120000839233,120.0
ST37,5.0120000839233,120.0
taconic_CER10,5.0120000839233,120.0
polycarbonate,5.0120000839233,120.0
beryllia_99.5,5.0120000839233,120.0
polyimide,6.0149998664856,12.092182980487289
sulfur_hexafluoride,6.0149998664856,120.0
taconic_CER10,6.0149998664856,120.0
aluminum_nitride,6.0149998664856,11.006999671331217
loamy_soi,6.0149998664856,120.0
polycarbonate,6.0149998664856,120.0
lead_glass,6.0149998664856,120.0
beryllia_99.5,6.0149998664856,120.0
mica,6.0149998664856,120.0
FR4,6.0149998664856,10.72384000089691
diamond,6.0149998664856,120.0
silicon,6.0149998664856,120.0
alumina_96,6.0149998664856,13.828637475563772
quartz,6.0149998664856,9.470940594958536
ECCOSORB_BSR1,6.0149998664856,120.0
ST37,6.0149998664856,120.0
STACEM_56NF01G,6.0149998664856,120.0
rubber,6.0149998664856,120.0
rogers_2929,6.0149998664856,120.0
epoxy_resin,6.0149998664856,8.922988792138666
schott_B_270,6.0149998664856,120.0
PTFE,6.0149998664856,26.725827600871025
PTFE,7.0009999275208,7.447201708328523
rubber,7.0009999275208,5.743283193348381
taconic_CER10,7.0009999275208,120.0
loamy_soi,7.0009999275208,120.0
schott_B_270,7.0009999275208,120.0
mica,7.0009999275208,8.40513263639407
alumina_96,7.0009999275208,120.0
ST37,7.0009999275208,120.0
polycarbonate,7.0009999275208,5.861574522497095
rogers_2929,7.0009999275208,5.737314076078927
sulfur_hexafluoride,7.0009999275208,5.711567291742071
STACEM_56NF01G,7.0009999275208,120.0
quartz,7.0009999275208,12.558226520215987
polyimide,7.0009999275208,7.73868062863417
aluminum_nitride,7.0009999275208,120.0
silicon,7.0009999275208,6.123086947400398
beryllia_99.5,7.0009999275208,5.774993780236082
diamond,7.0009999275208,120.0
lead_glass,7.0009999275208,120.0
epoxy_resin,7.0009999275208,120.0
ECCOSORB_BSR1,7.0009999275208,11.688280948285048
FR4,7.0009999275208,120.0
ST37,8.003999710083,120.0
sulfur_hexafluoride,8.003999710083,5.164314854281422
polyimide,8.003999710083,20.258789583713003
ECCOSORB_BSR1,8.003999710083,10.422120090252243
aluminum_nitride,8.003999710083,6.803576035620244
silicon,8.003999710083,120.0
mica,8.003999710083,120.0
polycarbonate,8.003999710083,6.681617303725613
FR4,8.003999710083,8.763203681290374
PTFE,8.003999710083,5.237235450039343
alumina_96,8.003999710083,7.603894589384277
diamond,8.003999710083,10.937736425495455
schott_B_270,8.003999710083,120.0
STACEM_56NF01G,8.003999710083,120.0
beryllia_99.5,8.003999710083,120.0
taconic_CER10,8.003999710083,120.0
rubber,8.003999710083,9.388437892690117
quartz,8.003999710083,120.0
lead_glass,8.003999710083,120.0
epoxy_resin,8.003999710083,20.280109424266183
loamy_soi,8.003999710083,120.0
rogers_2929,8.003999710083,9.159028307209239
ST37,9.0069999694824,120.0
ECCOSORB_BSR1,9.0069999694824,7.532342401913434
polyimide,9.0069999694824,5.672308295449207
silicon,9.0069999694824,120.0
FR4,9.0069999694824,4.7764976053535175
PTFE,9.0069999694824,4.367767001042504
schott_B_270,9.0069999694824,120.0
rubber,9.0069999694824,7.599949676368279
quartz,9.0069999694824,4.340263196356302
rogers_2929,9.0069999694824,7.4959132761942895
alumina_96,9.0069999694824,120.0
STACEM_56NF01G,9.0069999694824,120.0
epoxy_resin,9.0069999694824,3.9450626279099215
polycarbonate,9.0069999694824,6.993717584098707
lead_glass,9.0069999694824,120.0
mica,9.0069999694824,29.301026677323975
taconic_CER10,9.0069999694824,120.0
beryllia_99.5,9.0069999694824,7.313316444865485
sulfur_hexafluoride,9.0069999694824,3.940162762294452
aluminum_nitride,9.0069999694824,120.0
loamy_soi,9.0069999694824,12.7580043624547
ECCOSORB_BSR1,10.010000228882,120.0
sulfur_hexafluoride,10.010000228882,11.982672776537871
FR4,10.010000228882,120.0
polycarbonate,10.010000228882,120.0
schott_B_270,10.010000228882,120.0
loamy_soi,10.010000228882,120.0
mica,10.010000228882,120.0
aluminum_nitride,10.010000228882,120.0
beryllia_99.5,10.010000228882,120.0
rubber,10.010000228882,14.997648028110447
taconic_CER10,10.010000228882,120.0
PTFE,10.010000228882,120.0
silicon,10.010000228882,120.0
quartz,10.010000228882,120.0
rogers_2929,10.010000228882,15.224202991129996
alumina_96,10.010000228882,120.0
polyimide,10.010000228882,16.78042285889957
diamond,10.010000228882,12.089789048023372
epoxy_resin,10.010000228882,120.0
lead_glass,10.010000228882,120.0
ST37,10.010000228882,120.0
STACEM_56NF01G,10.010000228882,120.0
taconic_CER10,11.012999534607,120.0
diamond,11.012999534607,120.0
rubber,11.012999534607,120.0
quartz,11.012999534607,120.0
ST37,11.012999534607,120.0
lead_glass,11.012999534607,120.0
schott_B_270,11.012999534607,120.0
epoxy_resin,11.012999534607,120.0
alumina_96,11.012999534607,120.0
silicon,11.012999534607,120.0
PTFE,11.012999534607,120.0
beryllia_99.5,11.012999534607,120.0
STACEM_56NF01G,11.012999534607,120.0
sulfur_hexafluoride,11.012999534607,24.239466742804794
mica,11.012999534607,120.0
FR4,11.012999534607,120.0
rogers_2929,11.012999534607,120.0
ECCOSORB_BSR1,11.012999534607,120.0
loamy_soi,11.012999534607,120.0
polyimide,11.012999534607,120.0
aluminum_nitride,11.012999534607,120.0
polycarbonate,11.012999534607,120.0
rogers_2929,12.015999794006,1.231521873681258
taconic_CER10,12.015999794006,3.892368487470348
sulfur_hexafluoride,12.015999794006,120.0
schott_B_270,12.015999794006,120.0
alumina_96,12.015999794006,1.5515117762107724
beryllia_99.5,12.015999794006,0.6934329529652126
ECCOSORB_BSR1,12.015999794006,1.4060675627157293
silicon,12.015999794006,0.4344132268692579
STACEM_56NF01G,12.015999794006,2.445765891569317
ST37,12.015999794006,120.0
diamond,12.015999794006,1.3747316810477495
rubber,12.015999794006,1.278144820954532
epoxy_resin,12.015999794006,0.03740843827281491
aluminum_nitride,12.015999794006,0.7696439587813543
lead_glass,12.015999794006,120.0
quartz,12.015999794006,0.2751516814474007
polycarbonate,12.015999794006,0.7556611588724074
PTFE,12.015999794006,0.07280203165328783
FR4,12.015999794006,0.5054830922158172
mica,12.015999794006,0.13058515748579752
polyimide,12.015999794006,0.9509214951444835
loamy_soi,12.015999794006,1.841014661028622
ECCOSORB_BSR1,13.001999855042,6.089351465405091
FR4,13.001999855042,6.342437654646348
PTFE,13.001999855042,2.9876111281710482
aluminum_nitride,13.001999855042,120.0
mica,13.001999855042,11.502973670621532
schott_B_270,13.001999855042,120.0
diamond,13.001999855042,5.186630505174172
polycarbonate,13.001999855042,4.545549966935113
epoxy_resin,13.001999855042,6.616289934498863
alumina_96,13.001999855042,120.0
polyimide,13.001999855042,2.8062240518242785
STACEM_56NF01G,13.001999855042,9.990671999105732
rubber,13.001999855042,3.9588164565617694
ST37,13.001999855042,120.0
silicon,13.001999855042,120.0
loamy_soi,13.001999855042,6.908729625985492
rogers_2929,13.001999855042,3.964260535092489
taconic_CER10,13.001999855042,4.717827752493777
quartz,13.001999855042,4.276301942832321
beryllia_99.5,13.001999855042,120.0
sulfur_hexafluoride,13.001999855042,2.7554669539232246
lead_glass,13.001999855042,120.0
quartz,14.005000114441,15.059688996976341
aluminum_nitride,14.005000114441,7.978393825248694
rogers_2929,14.005000114441,4.575948652869723
ST37,14.005000114441,120.0
schott_B_270,14.005000114441,120.0
PTFE,14.005000114441,6.200496610750235
FR4,14.005000114441,5.65631272179855
diamond,14.005000114441,120.0
beryllia_99.5,14.005000114441,4.534559356853921
epoxy_resin,14.005000114441,11.223287107426213
taconic_CER10,14.005000114441,120.0
polycarbonate,14.005000114441,4.902190423365209
sulfur_hexafluoride,14.005000114441,4.468513575736754
alumina_96,14.005000114441,120.0
STACEM_56NF01G,14.005000114441,120.0
silicon,14.005000114441,7.142396448971587
rubber,14.005000114441,4.6131647586578755
lead_glass,14.005000114441,120.0
polyimide,14.005000114441,9.757440321763047
mica,14.005000114441,12.552562794066857
loamy_soi,14.005000114441,15.915312909435887
ECCOSORB_BSR1,14.005000114441,12.229264258353187
taconic_CER10,15.00800037384,0.18687610580363903
silicon,15.00800037384,4.507571584560449
beryllia_99.5,15.00800037384,3.044265735806623
diamond,15.00800037384,0.002783184304450278
polycarbonate,15.00800037384,0.22555577435164145
sulfur_hexafluoride,15.00800037384,1.3696505703006027e05
lead_glass,15.00800037384,120.0
STACEM_56NF01G,15.00800037384,2.549773367319805
mica,15.00800037384,1.3267796061087407
loamy_soi,15.00800037384,1.7143543285790361
ST37,15.00800037384,120.0
FR4,15.00800037384,0.6120894956664631
quartz,15.00800037384,0.35724613545851663
rogers_2929,15.00800037384,0.9685730626779891
rubber,15.00800037384,1.037895609931998
polyimide,15.00800037384,1.1777660822808171
PTFE,15.00800037384,0.47685621083924873
schott_B_270,15.00800037384,120.0
alumina_96,15.00800037384,3.380847461602327
epoxy_resin,15.00800037384,0.018199833221485235
ECCOSORB_BSR1,15.00800037384,1.612735065987247
aluminum_nitride,15.00800037384,3.7236818936256206
polyimide,16.010999679565,24.737483984447177
ECCOSORB_BSR1,16.010999679565,120.0
rubber,16.010999679565,120.0
mica,16.010999679565,120.0
epoxy_resin,16.010999679565,120.0
beryllia_99.5,16.010999679565,120.0
alumina_96,16.010999679565,120.0
sulfur_hexafluoride,16.010999679565,23.153846491801488
rogers_2929,16.010999679565,120.0
lead_glass,16.010999679565,120.0
loamy_soi,16.010999679565,120.0
quartz,16.010999679565,120.0
taconic_CER10,16.010999679565,120.0
aluminum_nitride,16.010999679565,120.0
polycarbonate,16.010999679565,120.0
STACEM_56NF01G,16.010999679565,120.0
FR4,16.010999679565,120.0
PTFE,16.010999679565,120.0
silicon,16.010999679565,120.0
diamond,16.010999679565,120.0
schott_B_270,16.010999679565,120.0
ST37,16.010999679565,120.0
diamond,17.013999938965,7.022098203944015
sulfur_hexafluoride,17.013999938965,3.568268450534213
rogers_2929,17.013999938965,3.703332491819005
FR4,17.013999938965,4.115242777942381
PTFE,17.013999938965,3.7734883785216002
lead_glass,17.013999938965,120.0
loamy_soi,17.013999938965,9.38774227378625
polyimide,17.013999938965,6.4189657503394
silicon,17.013999938965,9.409689467808457
quartz,17.013999938965,9.394930936550136
alumina_96,17.013999938965,120.0
epoxy_resin,17.013999938965,7.5955776236073085
schott_B_270,17.013999938965,120.0
aluminum_nitride,17.013999938965,120.0
mica,17.013999938965,3.6489640834057635
polycarbonate,17.013999938965,4.995358671336023
ECCOSORB_BSR1,17.013999938965,9.743292826265712
beryllia_99.5,17.013999938965,14.861878184934202
ST37,17.013999938965,120.0
STACEM_56NF01G,17.013999938965,120.0
taconic_CER10,17.013999938965,3.703883145695191
rubber,17.013999938965,3.670396396936587
polyimide,18.0,3.6249944238647247
mica,18.0,6.694959359544868
epoxy_resin,18.0,1.5875635718866687
ECCOSORB_BSR1,18.0,4.437924196267579
lead_glass,18.0,120.0
quartz,18.0,2.1921484580794335
alumina_96,18.0,6.829903721379866
silicon,18.0,120.0
rubber,18.0,2.419786232704166
ST37,18.0,120.0
sulfur_hexafluoride,18.0,1.5291788811656057
STACEM_56NF01G,18.0,6.590575804446701
diamond,18.0,3.446779399533186
rogers_2929,18.0,2.3074224283770186
polycarbonate,18.0,1.5369642943407091
FR4,18.0,2.643357782533946
PTFE,18.0,2.2946056727764623
aluminum_nitride,18.0,3.2905277599090423
schott_B_270,18.0,120.0
beryllia_99.5,18.0,5.243372706004954
loamy_soi,18.0,4.188323474281295
taconic_CER10,18.0,11.212787906870865
